[0]:0 [1]:0 [2]:0 [3]:0
[0]:3649252147 [1]:1 [2]:2 [3]:157
[0]:3375441013 [1]:1 [2]:2 [3]:190
[0]:4161818624 [1]:1 [2]:2 [3]:73
[0]:3956666031 [1]:1 [2]:2 [3]:59
[0]:3729869333 [1]:1 [2]:2 [3]:66
[0]:3497852926 [1]:1 [2]:2 [3]:164
[0]:4281815733 [1]:1 [2]:2 [3]:200
[0]:4055663902 [1]:1 [2]:2 [3]:123
[0]:3845032787 [1]:1 [2]:2 [3]:193
[0]:3621992683 [1]:1 [2]:2 [3]:179
[0]:3404827973 [1]:1 [2]:2 [3]:197
[0]:4185376891 [1]:1 [2]:2 [3]:31
[0]:3970810711 [1]:1 [2]:2 [3]:47
[0]:3749297942 [1]:1 [2]:2 [3]:150
[0]:3538065351 [1]:1 [2]:2 [3]:206
[0]:3309374088 [1]:1 [2]:2 [3]:47
[0]:4101857951 [1]:1 [2]:2 [3]:95
[0]:3881069216 [1]:1 [2]:2 [3]:127
[0]:3671391543 [1]:1 [2]:2 [3]:61
[0]:3465694971 [1]:1 [2]:2 [3]:193
[0]:4241009149 [1]:1 [2]:2 [3]:192
[0]:4025103809 [1]:1 [2]:2 [3]:99
[0]:3710515482 [1]:1 [2]:2 [3]:167
[0]:3494406708 [1]:1 [2]:2 [3]:198
[0]:4280572001 [1]:1 [2]:2 [3]:194
[0]:4069374137 [1]:1 [2]:2 [3]:158
[0]:3852671503 [1]:1 [2]:2 [3]:20
[0]:3588523259 [1]:1 [2]:2 [3]:28
[0]:3381421782 [1]:1 [2]:2 [3]:192
[0]:4128998471 [1]:1 [2]:2 [3]:32
[0]:3909385373 [1]:1 [2]:2 [3]:129
[0]:3702578548 [1]:1 [2]:2 [3]:29
[0]:3477382296 [1]:1 [2]:2 [3]:68
[0]:4265090753 [1]:1 [2]:2 [3]:188
[0]:4051383631 [1]:1 [2]:2 [3]:193
[0]:3838198303 [1]:1 [2]:2 [3]:104
[0]:3617828247 [1]:1 [2]:2 [3]:126
[0]:3377428674 [1]:1 [2]:2 [3]:193
[0]:4161821969 [1]:1 [2]:2 [3]:83
[0]:3954948873 [1]:1 [2]:2 [3]:194
[0]:3713229518 [1]:1 [2]:2 [3]:167
[0]:3465229581 [1]:1 [2]:2 [3]:146
[0]:4254645751 [1]:1 [2]:2 [3]:197
[0]:3976027164 [1]:1 [2]:2 [3]:140
[0]:3761790892 [1]:1 [2]:2 [3]:168
[0]:3554064636 [1]:1 [2]:2 [3]:116
[0]:3346119311 [1]:1 [2]:2 [3]:139
[0]:4081237907 [1]:1 [2]:2 [3]:63
[0]:3869194624 [1]:1 [2]:2 [3]:128
[0]:3622429656 [1]:1 [2]:2 [3]:144
[0]:3409769281 [1]:1 [2]:2 [3]:31
[0]:4201342226 [1]:1 [2]:2 [3]:199
[0]:3989859014 [1]:1 [2]:2 [3]:55
[0]:3732622548 [1]:1 [2]:2 [3]:194
[0]:3517234709 [1]:1 [2]:2 [3]:139
[0]:3308691016 [1]:1 [2]:2 [3]:193
[0]:4093399836 [1]:1 [2]:2 [3]:102
[0]:3865491713 [1]:1 [2]:2 [3]:93
[0]:3649368534 [1]:1 [2]:2 [3]:137
[0]:3413421691 [1]:1 [2]:2 [3]:26
[0]:4199496227 [1]:1 [2]:2 [3]:196
