[0]:0 [1]:0 [2]:0 [3]:0
[0]:3781996769 [1]:1 [2]:2 [3]:163
[0]:3568700186 [1]:1 [2]:2 [3]:136
[0]:3352968894 [1]:1 [2]:2 [3]:89
[0]:4104891201 [1]:1 [2]:2 [3]:74
[0]:3898255333 [1]:1 [2]:2 [3]:113
[0]:3692969549 [1]:1 [2]:2 [3]:191
[0]:3469352382 [1]:1 [2]:2 [3]:183
[0]:4249911796 [1]:1 [2]:2 [3]:29
[0]:4044666002 [1]:1 [2]:2 [3]:68
[0]:3833476271 [1]:1 [2]:2 [3]:118
[0]:3620991013 [1]:1 [2]:2 [3]:200
[0]:3397186806 [1]:1 [2]:2 [3]:196
[0]:4182916397 [1]:1 [2]:2 [3]:177
[0]:3977462839 [1]:1 [2]:2 [3]:199
[0]:3761571177 [1]:1 [2]:2 [3]:184
[0]:3484854641 [1]:1 [2]:2 [3]:108
[0]:4276737977 [1]:1 [2]:2 [3]:70
[0]:4068860804 [1]:1 [2]:2 [3]:140
[0]:3856457126 [1]:1 [2]:2 [3]:71
[0]:3648953494 [1]:1 [2]:2 [3]:43
[0]:3444977943 [1]:1 [2]:2 [3]:48
[0]:4228814971 [1]:1 [2]:2 [3]:193
[0]:3996862467 [1]:1 [2]:2 [3]:77
[0]:3788777006 [1]:1 [2]:2 [3]:97
[0]:3573021011 [1]:1 [2]:2 [3]:125
[0]:3353664563 [1]:1 [2]:2 [3]:161
[0]:4134891718 [1]:1 [2]:2 [3]:120
[0]:3921109644 [1]:1 [2]:2 [3]:114
[0]:3712432868 [1]:1 [2]:2 [3]:163
[0]:3484935281 [1]:1 [2]:2 [3]:77
[0]:4268665439 [1]:1 [2]:2 [3]:51
[0]:4060689577 [1]:1 [2]:2 [3]:124
[0]:3849002453 [1]:1 [2]:2 [3]:189
[0]:3637051144 [1]:1 [2]:2 [3]:194
[0]:3424778452 [1]:1 [2]:2 [3]:192
[0]:4217017522 [1]:1 [2]:2 [3]:35
[0]:3997097251 [1]:1 [2]:2 [3]:190
[0]:3785269697 [1]:1 [2]:2 [3]:187
[0]:3553467602 [1]:1 [2]:2 [3]:194
[0]:3336839997 [1]:1 [2]:2 [3]:198
[0]:4125290283 [1]:1 [2]:2 [3]:114
[0]:3917058448 [1]:1 [2]:2 [3]:102
[0]:3693852274 [1]:1 [2]:2 [3]:189
[0]:3485125328 [1]:1 [2]:2 [3]:54
[0]:4256923611 [1]:1 [2]:2 [3]:136
[0]:4028927497 [1]:1 [2]:2 [3]:152
[0]:3817114422 [1]:1 [2]:2 [3]:76
[0]:3601181522 [1]:1 [2]:2 [3]:176
[0]:3392738713 [1]:1 [2]:2 [3]:100
[0]:4188521806 [1]:1 [2]:2 [3]:201
[0]:3977829584 [1]:1 [2]:2 [3]:123
[0]:3756960491 [1]:1 [2]:2 [3]:35
[0]:3536790406 [1]:1 [2]:2 [3]:110
[0]:4257386224 [1]:1 [2]:2 [3]:123
[0]:4045095743 [1]:1 [2]:2 [3]:25
[0]:3833189229 [1]:1 [2]:2 [3]:72
[0]:3625031149 [1]:1 [2]:2 [3]:148
[0]:3393249872 [1]:1 [2]:2 [3]:91
[0]:4178886909 [1]:1 [2]:2 [3]:162
[0]:3970172636 [1]:1 [2]:2 [3]:73
[0]:3749185589 [1]:1 [2]:2 [3]:28
[0]:3531813344 [1]:1 [2]:2 [3]:79
[0]:3315815772 [1]:1 [2]:2 [3]:159
[0]:4109172259 [1]:1 [2]:2 [3]:70
[0]:3897755439 [1]:1 [2]:2 [3]:180
[0]:3688892244 [1]:1 [2]:2 [3]:65
[0]:3485088583 [1]:1 [2]:2 [3]:195
[0]:4225173329 [1]:1 [2]:2 [3]:195
[0]:4017193147 [1]:1 [2]:2 [3]:139
[0]:3805152384 [1]:1 [2]:2 [3]:144
[0]:3587705683 [1]:1 [2]:2 [3]:108
[0]:3361190807 [1]:1 [2]:2 [3]:34
[0]:4129143664 [1]:1 [2]:2 [3]:195
[0]:3912905632 [1]:1 [2]:2 [3]:52
[0]:3708795201 [1]:1 [2]:2 [3]:36
[0]:3497072827 [1]:1 [2]:2 [3]:192
[0]:4192206667 [1]:1 [2]:2 [3]:149
[0]:3982294264 [1]:1 [2]:2 [3]:159
[0]:3769051389 [1]:1 [2]:2 [3]:201
[0]:3562186959 [1]:1 [2]:2 [3]:137
[0]:3332319818 [1]:1 [2]:2 [3]:111
[0]:4111502526 [1]:1 [2]:2 [3]:199
[0]:3893175334 [1]:1 [2]:2 [3]:158
[0]:3667623694 [1]:1 [2]:2 [3]:190
[0]:3445395684 [1]:1 [2]:2 [3]:72
[0]:4225126956 [1]:1 [2]:2 [3]:197
[0]:4012979541 [1]:1 [2]:2 [3]:43
[0]:3810008584 [1]:1 [2]:2 [3]:67
[0]:3531369884 [1]:1 [2]:2 [3]:65
[0]:3320747939 [1]:1 [2]:2 [3]:196
[0]:4114327346 [1]:1 [2]:2 [3]:136
[0]:3886155853 [1]:1 [2]:2 [3]:197
[0]:3665196223 [1]:1 [2]:2 [3]:45
[0]:3460837951 [1]:1 [2]:2 [3]:82
[0]:4253119327 [1]:1 [2]:2 [3]:192
[0]:4033217464 [1]:1 [2]:2 [3]:75
[0]:3821049408 [1]:1 [2]:2 [3]:204
[0]:3568989317 [1]:1 [2]:2 [3]:195
[0]:3349046087 [1]:1 [2]:2 [3]:201
[0]:4055191587 [1]:1 [2]:2 [3]:194
[0]:3835619858 [1]:1 [2]:2 [3]:58
[0]:3625242012 [1]:1 [2]:2 [3]:55
[0]:3397911763 [1]:1 [2]:2 [3]:102
[0]:4166047864 [1]:1 [2]:2 [3]:198
[0]:3964960268 [1]:1 [2]:2 [3]:107
[0]:3750987464 [1]:1 [2]:2 [3]:57
[0]:3530888601 [1]:1 [2]:2 [3]:133
[0]:3309136022 [1]:1 [2]:2 [3]:192
[0]:4106688052 [1]:1 [2]:2 [3]:31
[0]:3897193796 [1]:1 [2]:2 [3]:100
[0]:3682479599 [1]:1 [2]:2 [3]:132
[0]:3473286292 [1]:1 [2]:2 [3]:54
[0]:4272530577 [1]:1 [2]:2 [3]:145
[0]:4069054377 [1]:1 [2]:2 [3]:118
[0]:3854183734 [1]:1 [2]:2 [3]:50
[0]:3617023784 [1]:1 [2]:2 [3]:109
[0]:3414584322 [1]:1 [2]:2 [3]:77
[0]:4205154287 [1]:1 [2]:2 [3]:200
[0]:3997231412 [1]:1 [2]:2 [3]:67
[0]:3781279972 [1]:1 [2]:2 [3]:131
[0]:3572997829 [1]:1 [2]:2 [3]:32
[0]:3349870901 [1]:1 [2]:2 [3]:121
[0]:4129291926 [1]:1 [2]:2 [3]:128
[0]:3917368937 [1]:1 [2]:2 [3]:52
[0]:3702648143 [1]:1 [2]:2 [3]:70
[0]:3495762906 [1]:1 [2]:2 [3]:128
[0]:4293264664 [1]:1 [2]:2 [3]:163
[0]:4081069026 [1]:1 [2]:2 [3]:109
[0]:3876279332 [1]:1 [2]:2 [3]:40
[0]:3637076941 [1]:1 [2]:2 [3]:80
[0]:3425169739 [1]:1 [2]:2 [3]:192
[0]:4205315074 [1]:1 [2]:2 [3]:45
[0]:4000933373 [1]:1 [2]:2 [3]:191
[0]:3801210741 [1]:1 [2]:2 [3]:159
[0]:3577254301 [1]:1 [2]:2 [3]:98
