[0]:0 [1]:0 [2]:0 [3]:0
[0]:4212361174 [1]:1 [2]:2 [3]:194
[0]:3999428056 [1]:1 [2]:2 [3]:34
[0]:3788040568 [1]:1 [2]:2 [3]:85
[0]:3553300553 [1]:1 [2]:2 [3]:82
[0]:3329583871 [1]:1 [2]:2 [3]:127
[0]:4111911999 [1]:1 [2]:2 [3]:99
[0]:3900046672 [1]:1 [2]:2 [3]:33
[0]:3622463506 [1]:1 [2]:2 [3]:52
[0]:3415969236 [1]:1 [2]:2 [3]:149
[0]:4173569364 [1]:1 [2]:2 [3]:153
[0]:3945584174 [1]:1 [2]:2 [3]:177
[0]:3730352999 [1]:1 [2]:2 [3]:193
[0]:3524358173 [1]:1 [2]:2 [3]:107
[0]:3312240474 [1]:1 [2]:2 [3]:85
[0]:4096134398 [1]:1 [2]:2 [3]:72
[0]:3878519977 [1]:1 [2]:2 [3]:124
[0]:3659930746 [1]:1 [2]:2 [3]:101
[0]:3432554896 [1]:1 [2]:2 [3]:179
[0]:4216466159 [1]:1 [2]:2 [3]:192
[0]:4003562199 [1]:1 [2]:2 [3]:31
[0]:3780621938 [1]:1 [2]:2 [3]:45
[0]:3552658718 [1]:1 [2]:2 [3]:83
[0]:3324245027 [1]:1 [2]:2 [3]:150
[0]:4115684228 [1]:1 [2]:2 [3]:140
[0]:3907789222 [1]:1 [2]:2 [3]:55
[0]:3692116959 [1]:1 [2]:2 [3]:99
[0]:3469026197 [1]:1 [2]:2 [3]:98
[0]:4240014266 [1]:1 [2]:2 [3]:190
[0]:4018337708 [1]:1 [2]:2 [3]:194
[0]:3808351198 [1]:1 [2]:2 [3]:167
[0]:3589097864 [1]:1 [2]:2 [3]:29
[0]:3372119283 [1]:1 [2]:2 [3]:48
[0]:4158996242 [1]:1 [2]:2 [3]:197
[0]:3950206886 [1]:1 [2]:2 [3]:95
[0]:3748808157 [1]:1 [2]:2 [3]:172
[0]:3525294527 [1]:1 [2]:2 [3]:197
[0]:3304084452 [1]:1 [2]:2 [3]:28
[0]:4088244466 [1]:1 [2]:2 [3]:120
[0]:3876475746 [1]:1 [2]:2 [3]:126
[0]:3655955424 [1]:1 [2]:2 [3]:34
[0]:3442896378 [1]:1 [2]:2 [3]:168
[0]:4213303456 [1]:1 [2]:2 [3]:30
[0]:4008302038 [1]:1 [2]:2 [3]:65
[0]:3799952413 [1]:1 [2]:2 [3]:155
[0]:3588015062 [1]:1 [2]:2 [3]:194
[0]:3380307919 [1]:1 [2]:2 [3]:32
[0]:4172175787 [1]:1 [2]:2 [3]:49
[0]:3960284422 [1]:1 [2]:2 [3]:99
[0]:3744049496 [1]:1 [2]:2 [3]:196
[0]:3541918224 [1]:1 [2]:2 [3]:138
[0]:3320413851 [1]:1 [2]:2 [3]:69
[0]:4100427136 [1]:1 [2]:2 [3]:55
[0]:3888052211 [1]:1 [2]:2 [3]:193
[0]:3676171712 [1]:1 [2]:2 [3]:183
[0]:3459765694 [1]:1 [2]:2 [3]:148
[0]:4232185121 [1]:1 [2]:2 [3]:204
[0]:4024248801 [1]:1 [2]:2 [3]:166
[0]:3805106849 [1]:1 [2]:2 [3]:120
[0]:3589514763 [1]:1 [2]:2 [3]:93
[0]:3369903084 [1]:1 [2]:2 [3]:200
[0]:4155442004 [1]:1 [2]:2 [3]:200
[0]:3952139839 [1]:1 [2]:2 [3]:121
[0]:3728995031 [1]:1 [2]:2 [3]:107
[0]:3516124517 [1]:1 [2]:2 [3]:26
[0]:3300058591 [1]:1 [2]:2 [3]:182
[0]:4084947019 [1]:1 [2]:2 [3]:197
[0]:3872188196 [1]:1 [2]:2 [3]:93
[0]:3652371277 [1]:1 [2]:2 [3]:97
[0]:3428336017 [1]:1 [2]:2 [3]:125
[0]:4216295066 [1]:1 [2]:2 [3]:122
[0]:3991129254 [1]:1 [2]:2 [3]:106
[0]:3761623376 [1]:1 [2]:2 [3]:96
[0]:3544857221 [1]:1 [2]:2 [3]:111
[0]:3328251819 [1]:1 [2]:2 [3]:188
[0]:4114816151 [1]:1 [2]:2 [3]:91
[0]:3900307096 [1]:1 [2]:2 [3]:105
[0]:3600764611 [1]:1 [2]:2 [3]:33
[0]:3388348331 [1]:1 [2]:2 [3]:122
[0]:4169988747 [1]:1 [2]:2 [3]:33
[0]:3950003734 [1]:1 [2]:2 [3]:120
[0]:3712380569 [1]:1 [2]:2 [3]:185
[0]:3492481777 [1]:1 [2]:2 [3]:89
[0]:4268317537 [1]:1 [2]:2 [3]:101
[0]:4048094083 [1]:1 [2]:2 [3]:47
[0]:3827954469 [1]:1 [2]:2 [3]:92
[0]:3620302672 [1]:1 [2]:2 [3]:142
[0]:3398336151 [1]:1 [2]:2 [3]:31
[0]:4181445798 [1]:1 [2]:2 [3]:160
[0]:3972802227 [1]:1 [2]:2 [3]:90
[0]:3756109471 [1]:1 [2]:2 [3]:171
[0]:3513194159 [1]:1 [2]:2 [3]:30
[0]:3296113146 [1]:1 [2]:2 [3]:191
[0]:4073483592 [1]:1 [2]:2 [3]:105
[0]:3861709807 [1]:1 [2]:2 [3]:197
[0]:3644188721 [1]:1 [2]:2 [3]:33
[0]:3416208393 [1]:1 [2]:2 [3]:33
[0]:4204388847 [1]:1 [2]:2 [3]:187
[0]:3988194529 [1]:1 [2]:2 [3]:106
[0]:3762612624 [1]:1 [2]:2 [3]:123
[0]:3561710564 [1]:1 [2]:2 [3]:62
[0]:3357197142 [1]:1 [2]:2 [3]:190
[0]:4138247076 [1]:1 [2]:2 [3]:197
[0]:3920396238 [1]:1 [2]:2 [3]:179
[0]:3704454924 [1]:1 [2]:2 [3]:149
[0]:3495331786 [1]:1 [2]:2 [3]:55
[0]:4280432264 [1]:1 [2]:2 [3]:175
[0]:4064489826 [1]:1 [2]:2 [3]:36
[0]:3848223492 [1]:1 [2]:2 [3]:144
[0]:3640319209 [1]:1 [2]:2 [3]:125
[0]:3424665531 [1]:1 [2]:2 [3]:91
[0]:4216251194 [1]:1 [2]:2 [3]:31
[0]:4000163374 [1]:1 [2]:2 [3]:50
[0]:3790379757 [1]:1 [2]:2 [3]:49
[0]:3576553602 [1]:1 [2]:2 [3]:30
[0]:3360178026 [1]:1 [2]:2 [3]:58
[0]:4144258869 [1]:1 [2]:2 [3]:199
[0]:3936480347 [1]:1 [2]:2 [3]:107
[0]:3728742556 [1]:1 [2]:2 [3]:27
[0]:3512384849 [1]:1 [2]:2 [3]:184
[0]:3295502072 [1]:1 [2]:2 [3]:63
[0]:4089430743 [1]:1 [2]:2 [3]:186
[0]:3882486421 [1]:1 [2]:2 [3]:199
[0]:3668525662 [1]:1 [2]:2 [3]:132
[0]:3450884544 [1]:1 [2]:2 [3]:200
[0]:4161192316 [1]:1 [2]:2 [3]:163
[0]:3936369947 [1]:1 [2]:2 [3]:190
[0]:3736106991 [1]:1 [2]:2 [3]:192
[0]:3511260786 [1]:1 [2]:2 [3]:30
[0]:4290196996 [1]:1 [2]:2 [3]:119
[0]:4056809972 [1]:1 [2]:2 [3]:137
[0]:3840426113 [1]:1 [2]:2 [3]:190
[0]:3620282504 [1]:1 [2]:2 [3]:66
[0]:3409766251 [1]:1 [2]:2 [3]:189
[0]:4165726314 [1]:1 [2]:2 [3]:65
[0]:3941973678 [1]:1 [2]:2 [3]:124
