[0]:0 [1]:0 [2]:0 [3]:0
[0]:3902227208 [1]:1 [2]:2 [3]:150
[0]:3682330034 [1]:1 [2]:2 [3]:61
[0]:3469896484 [1]:1 [2]:2 [3]:105
[0]:4225685899 [1]:1 [2]:2 [3]:21
[0]:4009875556 [1]:1 [2]:2 [3]:164
[0]:3797970011 [1]:1 [2]:2 [3]:68
[0]:3588339317 [1]:1 [2]:2 [3]:103
[0]:3388368934 [1]:1 [2]:2 [3]:196
[0]:4182282942 [1]:1 [2]:2 [3]:66
[0]:3977999617 [1]:1 [2]:2 [3]:119
[0]:3765861259 [1]:1 [2]:2 [3]:146
[0]:3538248131 [1]:1 [2]:2 [3]:50
[0]:3314218444 [1]:1 [2]:2 [3]:87
[0]:4105854941 [1]:1 [2]:2 [3]:163
[0]:3893988032 [1]:1 [2]:2 [3]:74
[0]:3633555586 [1]:1 [2]:2 [3]:120
[0]:3422190122 [1]:1 [2]:2 [3]:168
[0]:4210600058 [1]:1 [2]:2 [3]:155
[0]:3987608817 [1]:1 [2]:2 [3]:99
[0]:3773863018 [1]:1 [2]:2 [3]:73
[0]:3551388382 [1]:1 [2]:2 [3]:52
[0]:3313924183 [1]:1 [2]:2 [3]:190
[0]:4101824638 [1]:1 [2]:2 [3]:195
[0]:3886128876 [1]:1 [2]:2 [3]:76
[0]:3667051802 [1]:1 [2]:2 [3]:183
[0]:3449900302 [1]:1 [2]:2 [3]:121
[0]:4227263061 [1]:1 [2]:2 [3]:32
[0]:3998077678 [1]:1 [2]:2 [3]:202
[0]:3788042822 [1]:1 [2]:2 [3]:96
[0]:3575557948 [1]:1 [2]:2 [3]:30
[0]:3364192586 [1]:1 [2]:2 [3]:197
[0]:4146254381 [1]:1 [2]:2 [3]:192
[0]:3930109131 [1]:1 [2]:2 [3]:105
[0]:3723942316 [1]:1 [2]:2 [3]:98
[0]:3518166081 [1]:1 [2]:2 [3]:112
[0]:3308560298 [1]:1 [2]:2 [3]:101
[0]:4085213218 [1]:1 [2]:2 [3]:28
[0]:3873992001 [1]:1 [2]:2 [3]:29
[0]:3654229124 [1]:1 [2]:2 [3]:69
[0]:3438277548 [1]:1 [2]:2 [3]:58
[0]:4214199427 [1]:1 [2]:2 [3]:200
[0]:4005720651 [1]:1 [2]:2 [3]:197
[0]:3782831712 [1]:1 [2]:2 [3]:191
[0]:3566297057 [1]:1 [2]:2 [3]:150
[0]:3346192988 [1]:1 [2]:2 [3]:71
[0]:4125929112 [1]:1 [2]:2 [3]:197
[0]:3914114059 [1]:1 [2]:2 [3]:148
[0]:3695085757 [1]:1 [2]:2 [3]:171
[0]:3486047989 [1]:1 [2]:2 [3]:132
[0]:4278031613 [1]:1 [2]:2 [3]:99
[0]:4071781568 [1]:1 [2]:2 [3]:135
[0]:3866042021 [1]:1 [2]:2 [3]:198
[0]:3650188907 [1]:1 [2]:2 [3]:193
[0]:3430086223 [1]:1 [2]:2 [3]:33
[0]:4195075134 [1]:1 [2]:2 [3]:205
[0]:3974250249 [1]:1 [2]:2 [3]:52
[0]:3754164147 [1]:1 [2]:2 [3]:199
[0]:3534130133 [1]:1 [2]:2 [3]:193
[0]:3330625561 [1]:1 [2]:2 [3]:167
[0]:4114475633 [1]:1 [2]:2 [3]:188
[0]:3831090736 [1]:1 [2]:2 [3]:186
[0]:3622086398 [1]:1 [2]:2 [3]:69
[0]:3410203331 [1]:1 [2]:2 [3]:156
[0]:4190368498 [1]:1 [2]:2 [3]:164
[0]:3986194572 [1]:1 [2]:2 [3]:86
[0]:3770158899 [1]:1 [2]:2 [3]:37
[0]:3558308279 [1]:1 [2]:2 [3]:68
[0]:3350382691 [1]:1 [2]:2 [3]:190
[0]:4141950897 [1]:1 [2]:2 [3]:54
[0]:3937569649 [1]:1 [2]:2 [3]:126
[0]:3718132944 [1]:1 [2]:2 [3]:155
