[0]:0 [1]:0 [2]:0 [3]:0
[0]:3329038914 [1]:1 [2]:2 [3]:155
[0]:4117313893 [1]:1 [2]:2 [3]:196
[0]:3908929767 [1]:1 [2]:2 [3]:196
[0]:3693077596 [1]:1 [2]:2 [3]:193
[0]:3480819743 [1]:1 [2]:2 [3]:54
[0]:4201432627 [1]:1 [2]:2 [3]:79
[0]:3989546269 [1]:1 [2]:2 [3]:133
[0]:3781665446 [1]:1 [2]:2 [3]:93
[0]:3569191019 [1]:1 [2]:2 [3]:105
[0]:3353157764 [1]:1 [2]:2 [3]:46
[0]:4149201331 [1]:1 [2]:2 [3]:185
[0]:3917820324 [1]:1 [2]:2 [3]:190
[0]:3701621993 [1]:1 [2]:2 [3]:80
[0]:3488895266 [1]:1 [2]:2 [3]:81
[0]:4233408578 [1]:1 [2]:2 [3]:54
[0]:4017537521 [1]:1 [2]:2 [3]:180
[0]:3801803871 [1]:1 [2]:2 [3]:203
[0]:3601108511 [1]:1 [2]:2 [3]:123
[0]:3400591571 [1]:1 [2]:2 [3]:85
[0]:4121335833 [1]:1 [2]:2 [3]:166
[0]:3897209032 [1]:1 [2]:2 [3]:76
[0]:3685115906 [1]:1 [2]:2 [3]:107
[0]:3473192221 [1]:1 [2]:2 [3]:90
[0]:4265533404 [1]:1 [2]:2 [3]:160
[0]:3999193507 [1]:1 [2]:2 [3]:192
[0]:3786040426 [1]:1 [2]:2 [3]:192
[0]:3569114621 [1]:1 [2]:2 [3]:94
[0]:3357097626 [1]:1 [2]:2 [3]:37
[0]:4141052311 [1]:1 [2]:2 [3]:192
[0]:3925269736 [1]:1 [2]:2 [3]:157
[0]:3713209042 [1]:1 [2]:2 [3]:199
[0]:3500857483 [1]:1 [2]:2 [3]:122
[0]:4269218888 [1]:1 [2]:2 [3]:199
[0]:4053087706 [1]:1 [2]:2 [3]:195
[0]:3833772339 [1]:1 [2]:2 [3]:151
[0]:3626996456 [1]:1 [2]:2 [3]:154
[0]:3368983643 [1]:1 [2]:2 [3]:126
[0]:4163291039 [1]:1 [2]:2 [3]:179
[0]:3902434068 [1]:1 [2]:2 [3]:89
[0]:3693314933 [1]:1 [2]:2 [3]:117
[0]:3496883766 [1]:1 [2]:2 [3]:87
[0]:4285150339 [1]:1 [2]:2 [3]:31
[0]:4073050982 [1]:1 [2]:2 [3]:95
[0]:3865043418 [1]:1 [2]:2 [3]:74
[0]:3665597682 [1]:1 [2]:2 [3]:190
[0]:3453181527 [1]:1 [2]:2 [3]:30
[0]:4205939742 [1]:1 [2]:2 [3]:59
[0]:4000991128 [1]:1 [2]:2 [3]:192
[0]:3793728079 [1]:1 [2]:2 [3]:142
[0]:3589228232 [1]:1 [2]:2 [3]:165
[0]:3369058632 [1]:1 [2]:2 [3]:31
[0]:4165350317 [1]:1 [2]:2 [3]:50
[0]:3941011074 [1]:1 [2]:2 [3]:87
[0]:3737784771 [1]:1 [2]:2 [3]:70
[0]:3525750374 [1]:1 [2]:2 [3]:194
[0]:3305466467 [1]:1 [2]:2 [3]:31
[0]:4092608048 [1]:1 [2]:2 [3]:164
[0]:3881057873 [1]:1 [2]:2 [3]:147
[0]:3669345707 [1]:1 [2]:2 [3]:150
[0]:3457013336 [1]:1 [2]:2 [3]:118
[0]:4209403989 [1]:1 [2]:2 [3]:84
[0]:3997303354 [1]:1 [2]:2 [3]:69
[0]:3761700329 [1]:1 [2]:2 [3]:114
[0]:3549684247 [1]:1 [2]:2 [3]:189
[0]:3341321604 [1]:1 [2]:2 [3]:149
[0]:4109520318 [1]:1 [2]:2 [3]:194
[0]:3886219703 [1]:1 [2]:2 [3]:197
[0]:3681224111 [1]:1 [2]:2 [3]:161
[0]:3465546112 [1]:1 [2]:2 [3]:108
[0]:4250671439 [1]:1 [2]:2 [3]:91
[0]:4033345744 [1]:1 [2]:2 [3]:180
[0]:3785807178 [1]:1 [2]:2 [3]:61
[0]:3554130171 [1]:1 [2]:2 [3]:68
[0]:3337234492 [1]:1 [2]:2 [3]:165
[0]:4125305717 [1]:1 [2]:2 [3]:192
[0]:3905139652 [1]:1 [2]:2 [3]:70
[0]:3689512644 [1]:1 [2]:2 [3]:145
[0]:3433303109 [1]:1 [2]:2 [3]:161
[0]:4222092791 [1]:1 [2]:2 [3]:191
[0]:4007765641 [1]:1 [2]:2 [3]:186
[0]:3799484997 [1]:1 [2]:2 [3]:30
