[0]:0 [1]:0 [2]:0 [3]:0
[0]:3579456064 [1]:1 [2]:2 [3]:197
[0]:3357107459 [1]:1 [2]:2 [3]:137
[0]:4138827314 [1]:1 [2]:2 [3]:191
[0]:3876578441 [1]:1 [2]:2 [3]:190
[0]:3666767946 [1]:1 [2]:2 [3]:118
[0]:3442819687 [1]:1 [2]:2 [3]:192
[0]:4226399941 [1]:1 [2]:2 [3]:193
[0]:4014882932 [1]:1 [2]:2 [3]:192
[0]:3794739486 [1]:1 [2]:2 [3]:197
[0]:3582994482 [1]:1 [2]:2 [3]:139
[0]:3365619604 [1]:1 [2]:2 [3]:147
[0]:4086808894 [1]:1 [2]:2 [3]:137
[0]:3861114063 [1]:1 [2]:2 [3]:190
[0]:3642709952 [1]:1 [2]:2 [3]:196
[0]:3406565946 [1]:1 [2]:2 [3]:197
[0]:4191272287 [1]:1 [2]:2 [3]:55
[0]:3979912351 [1]:1 [2]:2 [3]:189
[0]:3766811977 [1]:1 [2]:2 [3]:189
[0]:3555903357 [1]:1 [2]:2 [3]:97
[0]:3350806527 [1]:1 [2]:2 [3]:52
[0]:4144145513 [1]:1 [2]:2 [3]:192
[0]:3937427033 [1]:1 [2]:2 [3]:164
[0]:3727865626 [1]:1 [2]:2 [3]:183
[0]:3519981651 [1]:1 [2]:2 [3]:101
[0]:3318902101 [1]:1 [2]:2 [3]:184
[0]:4098594054 [1]:1 [2]:2 [3]:73
[0]:3882876214 [1]:1 [2]:2 [3]:82
[0]:3662717982 [1]:1 [2]:2 [3]:69
[0]:3442979081 [1]:1 [2]:2 [3]:193
[0]:4226782161 [1]:1 [2]:2 [3]:113
[0]:3994775072 [1]:1 [2]:2 [3]:31
[0]:3760634616 [1]:1 [2]:2 [3]:146
[0]:3547001648 [1]:1 [2]:2 [3]:49
[0]:3336021709 [1]:1 [2]:2 [3]:162
[0]:4114776196 [1]:1 [2]:2 [3]:194
[0]:3902962839 [1]:1 [2]:2 [3]:157
[0]:3702763963 [1]:1 [2]:2 [3]:129
[0]:3487144917 [1]:1 [2]:2 [3]:26
[0]:4249108158 [1]:1 [2]:2 [3]:185
[0]:4051839278 [1]:1 [2]:2 [3]:197
[0]:3842151143 [1]:1 [2]:2 [3]:196
[0]:3627573498 [1]:1 [2]:2 [3]:114
[0]:3402676584 [1]:1 [2]:2 [3]:74
[0]:4198807253 [1]:1 [2]:2 [3]:92
[0]:3971794296 [1]:1 [2]:2 [3]:71
[0]:3722763119 [1]:1 [2]:2 [3]:194
[0]:3510750726 [1]:1 [2]:2 [3]:198
[0]:4292132918 [1]:1 [2]:2 [3]:186
[0]:4067755539 [1]:1 [2]:2 [3]:60
[0]:3856089376 [1]:1 [2]:2 [3]:42
[0]:3651373374 [1]:1 [2]:2 [3]:137
[0]:3360233087 [1]:1 [2]:2 [3]:158
[0]:4154775402 [1]:1 [2]:2 [3]:196
[0]:3946911071 [1]:1 [2]:2 [3]:157
[0]:3730598767 [1]:1 [2]:2 [3]:34
[0]:3503240528 [1]:1 [2]:2 [3]:43
[0]:4286922113 [1]:1 [2]:2 [3]:181
[0]:4074524664 [1]:1 [2]:2 [3]:166
[0]:3858957999 [1]:1 [2]:2 [3]:128
[0]:3597631953 [1]:1 [2]:2 [3]:192
[0]:3374595899 [1]:1 [2]:2 [3]:155
[0]:4150871069 [1]:1 [2]:2 [3]:54
[0]:3939912739 [1]:1 [2]:2 [3]:96
[0]:3662348963 [1]:1 [2]:2 [3]:103
[0]:3462301268 [1]:1 [2]:2 [3]:35
[0]:4247874739 [1]:1 [2]:2 [3]:137
[0]:4036928343 [1]:1 [2]:2 [3]:111
[0]:3828618574 [1]:1 [2]:2 [3]:192
[0]:3594699207 [1]:1 [2]:2 [3]:168
[0]:3382752588 [1]:1 [2]:2 [3]:192
[0]:4152238292 [1]:1 [2]:2 [3]:74
[0]:3944118054 [1]:1 [2]:2 [3]:205
[0]:3712789097 [1]:1 [2]:2 [3]:167
[0]:3495869619 [1]:1 [2]:2 [3]:182
[0]:3299301854 [1]:1 [2]:2 [3]:210
[0]:4089122227 [1]:1 [2]:2 [3]:177
[0]:3849064046 [1]:1 [2]:2 [3]:205
[0]:3640123211 [1]:1 [2]:2 [3]:134
[0]:3431072046 [1]:1 [2]:2 [3]:90
[0]:4189684502 [1]:1 [2]:2 [3]:205
[0]:3975797408 [1]:1 [2]:2 [3]:146
