[0]:0 [1]:0 [2]:0 [3]:0
[0]:3999785008 [1]:1 [2]:2 [3]:32
[0]:3773001677 [1]:1 [2]:2 [3]:170
[0]:3559349444 [1]:1 [2]:2 [3]:202
[0]:3348835621 [1]:1 [2]:2 [3]:27
[0]:4123696852 [1]:1 [2]:2 [3]:26
[0]:3884844132 [1]:1 [2]:2 [3]:155
[0]:3672004926 [1]:1 [2]:2 [3]:109
[0]:3455012101 [1]:1 [2]:2 [3]:67
[0]:4236311858 [1]:1 [2]:2 [3]:197
[0]:4015781953 [1]:1 [2]:2 [3]:64
[0]:3803586842 [1]:1 [2]:2 [3]:72
[0]:3587805487 [1]:1 [2]:2 [3]:42
[0]:3377794833 [1]:1 [2]:2 [3]:115
[0]:4167141328 [1]:1 [2]:2 [3]:88
[0]:3947675524 [1]:1 [2]:2 [3]:167
[0]:3721686783 [1]:1 [2]:2 [3]:61
[0]:3480298109 [1]:1 [2]:2 [3]:187
[0]:4272280771 [1]:1 [2]:2 [3]:87
[0]:4055586704 [1]:1 [2]:2 [3]:58
[0]:3826918039 [1]:1 [2]:2 [3]:162
[0]:3603676521 [1]:1 [2]:2 [3]:171
[0]:3383429836 [1]:1 [2]:2 [3]:133
[0]:4151681773 [1]:1 [2]:2 [3]:137
[0]:3947647512 [1]:1 [2]:2 [3]:117
[0]:3740391932 [1]:1 [2]:2 [3]:30
[0]:3455760809 [1]:1 [2]:2 [3]:179
[0]:4247985674 [1]:1 [2]:2 [3]:188
[0]:4027728629 [1]:1 [2]:2 [3]:53
[0]:3810620684 [1]:1 [2]:2 [3]:31
[0]:3595684284 [1]:1 [2]:2 [3]:196
[0]:3383818354 [1]:1 [2]:2 [3]:31
[0]:4171807383 [1]:1 [2]:2 [3]:58
[0]:3960401223 [1]:1 [2]:2 [3]:34
[0]:3744099618 [1]:1 [2]:2 [3]:115
[0]:3524001731 [1]:1 [2]:2 [3]:59
[0]:3312677083 [1]:1 [2]:2 [3]:150
[0]:4100385021 [1]:1 [2]:2 [3]:101
[0]:3886165996 [1]:1 [2]:2 [3]:85
[0]:3671843303 [1]:1 [2]:2 [3]:29
[0]:3447661878 [1]:1 [2]:2 [3]:197
[0]:4232123383 [1]:1 [2]:2 [3]:47
[0]:4019881784 [1]:1 [2]:2 [3]:139
[0]:3799837658 [1]:1 [2]:2 [3]:27
[0]:3587674877 [1]:1 [2]:2 [3]:100
[0]:3383533949 [1]:1 [2]:2 [3]:53
[0]:4175930569 [1]:1 [2]:2 [3]:68
[0]:3956347179 [1]:1 [2]:2 [3]:48
[0]:3676368569 [1]:1 [2]:2 [3]:68
[0]:3436998202 [1]:1 [2]:2 [3]:192
[0]:4227790387 [1]:1 [2]:2 [3]:81
[0]:4023457092 [1]:1 [2]:2 [3]:195
[0]:3808250449 [1]:1 [2]:2 [3]:109
[0]:3591644292 [1]:1 [2]:2 [3]:68
[0]:3379828106 [1]:1 [2]:2 [3]:33
[0]:4163326044 [1]:1 [2]:2 [3]:149
[0]:3952564062 [1]:1 [2]:2 [3]:164
[0]:3723550274 [1]:1 [2]:2 [3]:123
[0]:3507517077 [1]:1 [2]:2 [3]:70
[0]:3295636814 [1]:1 [2]:2 [3]:75
[0]:4083924733 [1]:1 [2]:2 [3]:115
[0]:3855643362 [1]:1 [2]:2 [3]:122
[0]:3647716522 [1]:1 [2]:2 [3]:163
[0]:3439644568 [1]:1 [2]:2 [3]:144
