[0]:0 [1]:0 [2]:0 [3]:0
[0]:3410737059 [1]:1 [2]:2 [3]:169
[0]:4198508078 [1]:1 [2]:2 [3]:70
[0]:3993227667 [1]:1 [2]:2 [3]:160
[0]:3782669636 [1]:1 [2]:2 [3]:195
[0]:3558107936 [1]:1 [2]:2 [3]:121
[0]:3333144678 [1]:1 [2]:2 [3]:30
[0]:4109352151 [1]:1 [2]:2 [3]:89
[0]:3880099172 [1]:1 [2]:2 [3]:160
[0]:3654701028 [1]:1 [2]:2 [3]:114
[0]:3441064922 [1]:1 [2]:2 [3]:80
[0]:4229533916 [1]:1 [2]:2 [3]:135
[0]:4005564116 [1]:1 [2]:2 [3]:150
[0]:3785056681 [1]:1 [2]:2 [3]:63
[0]:3557256019 [1]:1 [2]:2 [3]:124
[0]:3334165954 [1]:1 [2]:2 [3]:199
[0]:4114645223 [1]:1 [2]:2 [3]:152
[0]:3905355551 [1]:1 [2]:2 [3]:118
[0]:3667540308 [1]:1 [2]:2 [3]:134
[0]:3461643596 [1]:1 [2]:2 [3]:198
[0]:4249788132 [1]:1 [2]:2 [3]:168
[0]:4034968261 [1]:1 [2]:2 [3]:162
[0]:3805242837 [1]:1 [2]:2 [3]:142
[0]:3597619752 [1]:1 [2]:2 [3]:197
[0]:3381696637 [1]:1 [2]:2 [3]:188
[0]:4163382376 [1]:1 [2]:2 [3]:106
[0]:3945312262 [1]:1 [2]:2 [3]:93
[0]:3714260767 [1]:1 [2]:2 [3]:45
[0]:3451907924 [1]:1 [2]:2 [3]:33
[0]:4237159972 [1]:1 [2]:2 [3]:50
[0]:4030632078 [1]:1 [2]:2 [3]:190
[0]:3806776144 [1]:1 [2]:2 [3]:195
[0]:3589337448 [1]:1 [2]:2 [3]:159
[0]:3373483439 [1]:1 [2]:2 [3]:106
[0]:4159807989 [1]:1 [2]:2 [3]:106
[0]:3936859236 [1]:1 [2]:2 [3]:98
[0]:3645799629 [1]:1 [2]:2 [3]:152
[0]:3430564184 [1]:1 [2]:2 [3]:157
[0]:4225359787 [1]:1 [2]:2 [3]:103
[0]:4013351346 [1]:1 [2]:2 [3]:191
[0]:3797058984 [1]:1 [2]:2 [3]:98
[0]:3576551241 [1]:1 [2]:2 [3]:157
[0]:3325257187 [1]:1 [2]:2 [3]:196
[0]:4117564848 [1]:1 [2]:2 [3]:189
[0]:3905674968 [1]:1 [2]:2 [3]:201
[0]:3689469981 [1]:1 [2]:2 [3]:148
