[0]:0 [1]:0 [2]:0 [3]:0
[0]:3800326473 [1]:1 [2]:2 [3]:32
[0]:3587896182 [1]:1 [2]:2 [3]:165
[0]:3357399712 [1]:1 [2]:2 [3]:193
[0]:4137677568 [1]:1 [2]:2 [3]:65
[0]:3922991276 [1]:1 [2]:2 [3]:179
[0]:3708131713 [1]:1 [2]:2 [3]:122
[0]:3489163621 [1]:1 [2]:2 [3]:87
[0]:4235895327 [1]:1 [2]:2 [3]:50
[0]:4019842438 [1]:1 [2]:2 [3]:67
[0]:3800006629 [1]:1 [2]:2 [3]:65
[0]:3584496612 [1]:1 [2]:2 [3]:194
[0]:3323713163 [1]:1 [2]:2 [3]:33
[0]:4111726438 [1]:1 [2]:2 [3]:170
[0]:3901668396 [1]:1 [2]:2 [3]:86
[0]:3687978062 [1]:1 [2]:2 [3]:154
[0]:3473140822 [1]:1 [2]:2 [3]:204
[0]:4248094917 [1]:1 [2]:2 [3]:189
[0]:4011701104 [1]:1 [2]:2 [3]:64
[0]:3760217241 [1]:1 [2]:2 [3]:53
[0]:3558101223 [1]:1 [2]:2 [3]:186
[0]:3347736102 [1]:1 [2]:2 [3]:112
[0]:4125477476 [1]:1 [2]:2 [3]:114
[0]:3903903187 [1]:1 [2]:2 [3]:125
[0]:3688148694 [1]:1 [2]:2 [3]:192
[0]:3468222884 [1]:1 [2]:2 [3]:151
[0]:4231758536 [1]:1 [2]:2 [3]:56
[0]:3997358832 [1]:1 [2]:2 [3]:33
[0]:3777856044 [1]:1 [2]:2 [3]:88
[0]:3567901891 [1]:1 [2]:2 [3]:150
[0]:3355808718 [1]:1 [2]:2 [3]:58
[0]:4132082538 [1]:1 [2]:2 [3]:197
[0]:3913623919 [1]:1 [2]:2 [3]:153
[0]:3676387959 [1]:1 [2]:2 [3]:125
[0]:3403866151 [1]:1 [2]:2 [3]:62
[0]:4183494824 [1]:1 [2]:2 [3]:161
[0]:3974550787 [1]:1 [2]:2 [3]:178
[0]:3752382129 [1]:1 [2]:2 [3]:52
[0]:3511838348 [1]:1 [2]:2 [3]:141
[0]:3299727461 [1]:1 [2]:2 [3]:135
[0]:4053378927 [1]:1 [2]:2 [3]:141
[0]:3791752643 [1]:1 [2]:2 [3]:148
[0]:3568015132 [1]:1 [2]:2 [3]:33
[0]:3336038589 [1]:1 [2]:2 [3]:162
[0]:4112238931 [1]:1 [2]:2 [3]:162
[0]:3904163212 [1]:1 [2]:2 [3]:92
[0]:3675827982 [1]:1 [2]:2 [3]:30
[0]:3463881719 [1]:1 [2]:2 [3]:36
[0]:4246063522 [1]:1 [2]:2 [3]:199
[0]:4027969399 [1]:1 [2]:2 [3]:200
[0]:3808101279 [1]:1 [2]:2 [3]:63
[0]:3567840278 [1]:1 [2]:2 [3]:91
[0]:3358961324 [1]:1 [2]:2 [3]:107
[0]:4136117054 [1]:1 [2]:2 [3]:192
[0]:3909193634 [1]:1 [2]:2 [3]:58
[0]:3687775603 [1]:1 [2]:2 [3]:55
[0]:3464051731 [1]:1 [2]:2 [3]:156
[0]:4247857489 [1]:1 [2]:2 [3]:34
[0]:4037225561 [1]:1 [2]:2 [3]:78
[0]:3821157132 [1]:1 [2]:2 [3]:91
[0]:3608034293 [1]:1 [2]:2 [3]:160
[0]:3398590159 [1]:1 [2]:2 [3]:77
[0]:4188035777 [1]:1 [2]:2 [3]:134
[0]:3975871313 [1]:1 [2]:2 [3]:35
[0]:3759795758 [1]:1 [2]:2 [3]:76
[0]:3532007231 [1]:1 [2]:2 [3]:122
[0]:3328205047 [1]:1 [2]:2 [3]:201
[0]:4121117683 [1]:1 [2]:2 [3]:195
[0]:3904259596 [1]:1 [2]:2 [3]:53
[0]:3691924862 [1]:1 [2]:2 [3]:99
[0]:3475901184 [1]:1 [2]:2 [3]:119
[0]:4267827574 [1]:1 [2]:2 [3]:195
[0]:4043802729 [1]:1 [2]:2 [3]:188
[0]:3825515926 [1]:1 [2]:2 [3]:146
[0]:3604078758 [1]:1 [2]:2 [3]:80
[0]:3376001306 [1]:1 [2]:2 [3]:195
[0]:4114725068 [1]:1 [2]:2 [3]:64
[0]:3903727209 [1]:1 [2]:2 [3]:196
[0]:3687951409 [1]:1 [2]:2 [3]:176
[0]:3475338557 [1]:1 [2]:2 [3]:135
[0]:4260121103 [1]:1 [2]:2 [3]:108
[0]:4044047728 [1]:1 [2]:2 [3]:134
[0]:3833430828 [1]:1 [2]:2 [3]:106
[0]:3619317496 [1]:1 [2]:2 [3]:54
[0]:3404792208 [1]:1 [2]:2 [3]:181
[0]:4187780918 [1]:1 [2]:2 [3]:83
[0]:3969267234 [1]:1 [2]:2 [3]:70
[0]:3760086959 [1]:1 [2]:2 [3]:191
[0]:3550163079 [1]:1 [2]:2 [3]:194
[0]:3331344774 [1]:1 [2]:2 [3]:111
[0]:4107263411 [1]:1 [2]:2 [3]:196
[0]:3885909626 [1]:1 [2]:2 [3]:141
[0]:3676120652 [1]:1 [2]:2 [3]:33
[0]:3461414531 [1]:1 [2]:2 [3]:56
[0]:4251763478 [1]:1 [2]:2 [3]:142
[0]:4036196663 [1]:1 [2]:2 [3]:195
[0]:3814415229 [1]:1 [2]:2 [3]:45
[0]:3589404926 [1]:1 [2]:2 [3]:131
[0]:3376131871 [1]:1 [2]:2 [3]:131
[0]:4157533343 [1]:1 [2]:2 [3]:50
[0]:3938869694 [1]:1 [2]:2 [3]:78
[0]:3720063279 [1]:1 [2]:2 [3]:201
[0]:3491932038 [1]:1 [2]:2 [3]:146
[0]:4275877798 [1]:1 [2]:2 [3]:67
[0]:4064238228 [1]:1 [2]:2 [3]:159
[0]:3849342933 [1]:1 [2]:2 [3]:118
[0]:3636241832 [1]:1 [2]:2 [3]:23
[0]:3427949546 [1]:1 [2]:2 [3]:130
[0]:4215807737 [1]:1 [2]:2 [3]:150
[0]:4007977928 [1]:1 [2]:2 [3]:29
[0]:3795996167 [1]:1 [2]:2 [3]:131
[0]:3579988603 [1]:1 [2]:2 [3]:42
[0]:3367892648 [1]:1 [2]:2 [3]:120
[0]:4126608901 [1]:1 [2]:2 [3]:31
[0]:3908062166 [1]:1 [2]:2 [3]:29
[0]:3668072569 [1]:1 [2]:2 [3]:117
[0]:3452076133 [1]:1 [2]:2 [3]:192
[0]:4237681106 [1]:1 [2]:2 [3]:184
[0]:4028182622 [1]:1 [2]:2 [3]:180
[0]:3800188341 [1]:1 [2]:2 [3]:112
