[0]:0 [1]:0 [2]:0 [3]:0
[0]:4111295677 [1]:1 [2]:2 [3]:86
[0]:3889378656 [1]:1 [2]:2 [3]:158
[0]:3681149983 [1]:1 [2]:2 [3]:98
[0]:3461981144 [1]:1 [2]:2 [3]:42
[0]:4253077667 [1]:1 [2]:2 [3]:190
[0]:4038191891 [1]:1 [2]:2 [3]:172
[0]:3817445329 [1]:1 [2]:2 [3]:29
[0]:3591184672 [1]:1 [2]:2 [3]:69
[0]:3373147688 [1]:1 [2]:2 [3]:32
[0]:4142070294 [1]:1 [2]:2 [3]:27
[0]:3937028629 [1]:1 [2]:2 [3]:170
[0]:3729232476 [1]:1 [2]:2 [3]:35
[0]:3515465618 [1]:1 [2]:2 [3]:173
[0]:3305259379 [1]:1 [2]:2 [3]:161
[0]:4093242256 [1]:1 [2]:2 [3]:64
[0]:3873210593 [1]:1 [2]:2 [3]:109
[0]:3657124768 [1]:1 [2]:2 [3]:134
[0]:3452896358 [1]:1 [2]:2 [3]:30
[0]:4205656014 [1]:1 [2]:2 [3]:139
[0]:3989324552 [1]:1 [2]:2 [3]:194
[0]:3778390051 [1]:1 [2]:2 [3]:95
[0]:3565733449 [1]:1 [2]:2 [3]:156
[0]:3310122006 [1]:1 [2]:2 [3]:180
[0]:4021611903 [1]:1 [2]:2 [3]:82
[0]:3813281101 [1]:1 [2]:2 [3]:178
[0]:3597334684 [1]:1 [2]:2 [3]:144
[0]:3388140674 [1]:1 [2]:2 [3]:103
[0]:4165335159 [1]:1 [2]:2 [3]:153
[0]:3957187024 [1]:1 [2]:2 [3]:152
[0]:3741364491 [1]:1 [2]:2 [3]:187
[0]:3525422182 [1]:1 [2]:2 [3]:44
[0]:4250491917 [1]:1 [2]:2 [3]:87
[0]:4033348906 [1]:1 [2]:2 [3]:196
[0]:3829125872 [1]:1 [2]:2 [3]:120
[0]:3613208317 [1]:1 [2]:2 [3]:198
[0]:3397403308 [1]:1 [2]:2 [3]:88
[0]:4185174297 [1]:1 [2]:2 [3]:92
[0]:3981252024 [1]:1 [2]:2 [3]:200
[0]:3765245074 [1]:1 [2]:2 [3]:29
[0]:3549228538 [1]:1 [2]:2 [3]:157
[0]:3340878873 [1]:1 [2]:2 [3]:181
[0]:4117358444 [1]:1 [2]:2 [3]:191
[0]:3913358483 [1]:1 [2]:2 [3]:209
[0]:3694122414 [1]:1 [2]:2 [3]:200
[0]:3484238786 [1]:1 [2]:2 [3]:196
[0]:4277527143 [1]:1 [2]:2 [3]:33
[0]:4065434757 [1]:1 [2]:2 [3]:137
[0]:3863828267 [1]:1 [2]:2 [3]:193
[0]:3649487222 [1]:1 [2]:2 [3]:28
[0]:3447901927 [1]:1 [2]:2 [3]:141
[0]:4245303607 [1]:1 [2]:2 [3]:61
[0]:3997513966 [1]:1 [2]:2 [3]:160
[0]:3789313897 [1]:1 [2]:2 [3]:162
[0]:3521340581 [1]:1 [2]:2 [3]:195
[0]:3310502287 [1]:1 [2]:2 [3]:200
[0]:4088355062 [1]:1 [2]:2 [3]:104
[0]:3877508237 [1]:1 [2]:2 [3]:188
[0]:3671006421 [1]:1 [2]:2 [3]:195
[0]:3457430892 [1]:1 [2]:2 [3]:112
[0]:4246567394 [1]:1 [2]:2 [3]:160
[0]:4041646491 [1]:1 [2]:2 [3]:160
[0]:3831740866 [1]:1 [2]:2 [3]:31
[0]:3617382448 [1]:1 [2]:2 [3]:29
[0]:3397527993 [1]:1 [2]:2 [3]:171
[0]:4190422628 [1]:1 [2]:2 [3]:106
[0]:3979512108 [1]:1 [2]:2 [3]:74
[0]:3765090026 [1]:1 [2]:2 [3]:24
[0]:3560252061 [1]:1 [2]:2 [3]:151
[0]:3328484364 [1]:1 [2]:2 [3]:108
[0]:4111330051 [1]:1 [2]:2 [3]:163
[0]:3901546277 [1]:1 [2]:2 [3]:183
